text,label
"Your account has been temporarily suspended. Click the link below to verify your identity.",1
"Meeting rescheduled to 3 PM tomorrow. Please confirm your availability.",0
"Urgent! Update your payment information to avoid service interruption.",1
"Here is the report you requested. Let me know if you need any changes.",0
"Congratulations! You have won a free vacation. Click here to claim now.",1
"Please find attached the project timeline for next week’s sprint.",0
"Your PayPal account has been limited. Verify your details immediately.",1
"The invoice for this month’s services is attached. Kindly review and approve.",0
"Security alert: Unusual login detected. Reset your password here.",1
"Reminder: Submit your weekly progress report by 5 PM.",0
"Your parcel could not be delivered. Re-enter your address to schedule delivery.",1
"Looking forward to our collaboration on the new marketing project.",0
"Update your bank details to receive pending funds.",1
"Thanks for your help in finalizing the design proposal.",0
"Dear user, confirm your email or your account will be deleted.",1
"Can we move our team sync to next Monday instead of Friday?",0
"Verify your Apple ID now to continue using your account.",1
"Attached is the signed contract for your records.",0
"Payment received successfully. Thank you for your business.",0
"Reset your password immediately to prevent unauthorized access.",1
